"corpus_version","generated_at","license","methodology_url","id","slug","name","entityType","summary","dateDisplay","regions","styles","roles","instruments","sourceIds","featuredVideo","reviewStatus","lastReviewed"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:arthur-big-boy-spires","arthur-big-boy-spires","Arthur ""Big Boy"" Spires","artist","Arthur ""Big Boy"" Spires was a blues singer.","1912 – 1990","United States","Blues","Singer","Guitar; Voice","source:encyclopedia-arthur-big-boy-spires; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""HjSj6QovdAk"",""title"":""2  Arthur Big Boy Spires - Murmur Low - Big Boy Spires, 1966"",""sourceUrl"":""https://www.youtube.com/watch?v=HjSj6QovdAk"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bb-king","bb-king","B.B. King","artist","His vibrato-heavy, vocal-like single-string leads became the most emulated guitar vocabulary in modern blues, reaching Clapton, SRV, and beyond.","1925 – 2015","Mississippi → Memphis","","","","","{""platform"":""youtube"",""videoId"":""SgXSomPE_FY"",""title"":""The Thrill Is Gone (Crossroads 2010)"",""sourceUrl"":""https://www.youtube.com/watch?v=SgXSomPE_FY"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bernice-edwards","bernice-edwards","Bernice Edwards","artist","Bernice Edwards was a blues musician, singer and musician.","1910 – 1969","United States","Blues","Musician; Singer; Blues Musician","Piano; Voice","source:encyclopedia-bernice-edwards; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""39uSqr7hIEY"",""title"":""Low Down Dirty Shame Blues, Bernice Edwards"",""sourceUrl"":""https://www.youtube.com/watch?v=39uSqr7hIEY"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bessie-smith","bessie-smith","Bessie Smith","artist","The best-selling blues recording artist of the 1920s, whose phrasing and emotional command influenced generations of singers across blues, jazz, and soul.","1894 – 1937","Tennessee","","","","","{""platform"":""youtube"",""videoId"":""kxTyV_cBz7o"",""title"":""Nobody Knows You When You're Down and Out"",""sourceUrl"":""https://www.youtube.com/watch?v=kxTyV_cBz7o"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bessie-tucker","bessie-tucker","Bessie Tucker","artist","Bessie Tucker was a blues singer, songwriter and musician.","1906 – 1933","United States","Blues","Singer; Songwriter; Musician","Voice","source:encyclopedia-bessie-tucker; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""e8d75R2YMSo"",""title"":""Key To The Bushes Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=e8d75R2YMSo"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-boy-henry","big-boy-henry","Big Boy Henry","artist","Big Boy Henry was a blues singer.","1921 – 2004","United States","Blues","Singer","Voice","source:encyclopedia-big-boy-henry; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""1MGeJI1OeRI"",""title"":""Big Boy Henry   New Bern  EP version 1984"",""sourceUrl"":""https://www.youtube.com/watch?v=1MGeJI1OeRI"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-joe-duskin","big-joe-duskin","Big Joe Duskin","artist","Big Joe Duskin was a blues pianist, jazz musician and songwriter.","1921 – 2007","United States","Blues","Pianist; Jazz Musician; Songwriter; Musician","Piano","source:encyclopedia-big-joe-duskin; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""sij4zqsuAmE"",""title"":""BIG JOE DUSKIN (Birmingham, Alabama, USA) - Big Joe's Boogie Prayer (instr.)"",""sourceUrl"":""https://www.youtube.com/watch?v=sij4zqsuAmE"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-joe-williams","big-joe-williams","Big Joe Williams","artist","Big Joe Williams was a blues singer, songwriter and singer-songwriter.","1903 – 1982","United States","Blues; Delta Blues","Singer; Songwriter; Singer-Songwriter; Guitarist","Guitar; Voice","source:encyclopedia-big-joe-williams; source:wikipedia-list-blues-musicians-discovery; source:school-of-rock-history-blues","{""platform"":""youtube"",""videoId"":""AXA_ejAyJEM"",""title"":""Short Stuff Macon & Big Joe Williams Hell-Bound Blues (1964)"",""sourceUrl"":""https://www.youtube.com/watch?v=AXA_ejAyJEM"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-john-wrencher","big-john-wrencher","Big John Wrencher","artist","Big John Wrencher was a blues musician.","1923 – 1977","United States","Blues","Musician","Harmonica","source:encyclopedia-big-john-wrencher; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""9I0TVgwgWOE"",""title"":""I`M AM ROOT MAN  ---  BIG JOHN WRENCHER"",""sourceUrl"":""https://www.youtube.com/watch?v=9I0TVgwgWOE"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-mama-thornton","big-mama-thornton","Willie Mae “Big Mama” Thornton","artist","Alabama-born singer, songwriter, harmonica player and drummer whose forceful delivery shaped mid-century rhythm-and-blues and blues performance.","1926 – 1984","Alabama; Houston, Texas; California","Rhythm and blues; Electric blues","Singer; Songwriter; Harmonica player; Drummer","Harmonica; Drums","source:big-mama-thornton-blues-foundation","{""platform"":""youtube"",""videoId"":""pam1eUkWfFM"",""title"":""Hound Dog"",""sourceUrl"":""https://www.youtube.com/watch?v=pam1eUkWfFM"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:big-walter-horton","big-walter-horton","Big Walter Horton","artist","Big Walter Horton was a blues musician.","1917 – 1981","United States","Blues","Musician","Harmonica","source:encyclopedia-big-walter-horton; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""MhFz2a_zoDI"",""title"":""Little Walter's Boogie | Big Walter Horton (Official Audio)"",""sourceUrl"":""https://www.youtube.com/watch?v=MhFz2a_zoDI"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:billy-branch","billy-branch","Billy Branch","artist","Chicago singer and harmonica player who emerged through the New Generation of Chicago Blues and leads the Sons of Blues.","1951 –","Chicago, Illinois","Chicago blues; Electric blues","Singer; Harmonica player; Bandleader","Harmonica","source:billy-branch-official-bio","{""platform"":""youtube"",""videoId"":""tWgenm80p60"",""title"":""Red House (with Jamiah Rogers)"",""sourceUrl"":""https://www.youtube.com/watch?v=tWgenm80p60"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-blake","blind-blake","Blind Blake","artist","A virtuoso ragtime-influenced fingerpicker who defined the melodic, syncopated Piedmont blues guitar style.","c. 1896 – 1934","Georgia / East Coast","","","","","{""platform"":""youtube"",""videoId"":""u5bKFqlebzg"",""title"":""Police Dog Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=u5bKFqlebzg"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-john-davis","blind-john-davis","Blind John Davis","artist","Blind John Davis was a blues singer, pianist and jazz musician.","1913 – 1985","United States","Blues","Singer; Pianist; Jazz Musician; Musician","Piano; Voice","source:encyclopedia-blind-john-davis; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""IMwa3Be7k74"",""title"":""Roots of Blues -- Blind John Davis „ My Own Boogie\"""",""sourceUrl"":""https://www.youtube.com/watch?v=IMwa3Be7k74"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-lemon","blind-lemon","Blind Lemon Jefferson","artist","The first blues star to sell records widely, his intricate single-string guitar runs shaped Texas blues and, through recordings, reached players far beyond his region.","c. 1893 – 1929","Texas","","","","","{""platform"":""youtube"",""videoId"":""fKKtSnuuhMQ"",""title"":""Long Lonesome Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=fKKtSnuuhMQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-mississippi-morris","blind-mississippi-morris","Blind Mississippi Morris","artist","Blind Mississippi Morris is a blues musician.","1955 –","United States","Blues","Musician","Harmonica; Guitar","source:encyclopedia-blind-mississippi-morris; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""oHfO4xflRTk"",""title"":""Blind Mississippi Morris 2006-08-26 audio only"",""sourceUrl"":""https://www.youtube.com/watch?v=oHfO4xflRTk"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-willie-johnson","blind-willie-johnson","Blind Willie Johnson","artist","Texas gospel-blues singer and slide guitarist whose forceful voice and thirty Columbia recordings joined sacred repertoire with blues technique.","1897 – 1945","Texas","Gospel blues; Texas blues; Slide guitar blues","Singer; Guitarist; Preacher","Slide guitar","source:blind-willie-johnson-tsha","{""platform"":""youtube"",""videoId"":""ud74hhPqISo"",""title"":""Dark Was the Night, Cold Was the Ground"",""sourceUrl"":""https://www.youtube.com/watch?v=ud74hhPqISo"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:blind-willie-mctell","blind-willie-mctell","Blind Willie McTell","artist","Blind Willie McTell was a blues singer-songwriter, musician and songwriter.","1898 – 1959","United States","Blues","Singer-Songwriter; Musician; Songwriter; Guitarist","Guitar; Harmonica","source:encyclopedia-blind-willie-mctell; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""sk4Js6Q58h8"",""title"":""Statesboro Blues (Remastered 2002)"",""sourceUrl"":""https://www.youtube.com/watch?v=sk4Js6Q58h8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bo-diddley","bo-diddley","Bo Diddley","artist","Introduced the syncopated 'Bo Diddley beat' rooted in African polyrhythm, a direct influence on Buddy Holly, the Rolling Stones, and countless garage bands.","1928 – 2008","Mississippi → Chicago","","","","","{""platform"":""youtube"",""videoId"":""WJLy-Fnedy8"",""title"":""Bo Diddley"",""sourceUrl"":""https://www.youtube.com/watch?v=WJLy-Fnedy8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bob-gaddy","bob-gaddy","Bob Gaddy","artist","Bob Gaddy was a blues singer, pianist and songwriter.","1924 – 1997","United States","Blues","Singer; Pianist; Songwriter","Piano; Voice","source:encyclopedia-bob-gaddy; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""0Okb02WKS28"",""title"":""Blues Has Walked in My Room"",""sourceUrl"":""https://www.youtube.com/watch?v=0Okb02WKS28"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bob-kirkpatrick","bob-kirkpatrick","Bob Kirkpatrick","artist","Bob Kirkpatrick is a blues singer and songwriter.","1934 –","United States","Blues; Texas Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-bob-kirkpatrick; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""SNuruTw1Mqw"",""title"":""Bob Kirkpatrick ~ ''Watergate Blues'' (Electric Blues 1973)"",""sourceUrl"":""https://www.youtube.com/watch?v=SNuruTw1Mqw"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bob-margolin","bob-margolin","Bob Margolin","artist","Bob Margolin is a blues musician, guitarist and musician.","1949 –","United States","Blues","Musician; Guitarist; Blues Musician","Guitar","source:encyclopedia-bob-margolin; source:wikipedia-list-blues-musicians-discovery; source:blues-foundation-hall-of-fame","{""platform"":""youtube"",""videoId"":""WxuaOptWU-w"",""title"":""Bob Margolin - Chicago Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=WxuaOptWU-w"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bobby-bland","bobby-bland","Bobby Bland","artist","Bobby Bland was a blues singer, musician and musician.","1930 – 2013","United States","Blues","Singer; Blues Musician; Musician","Harmonica; Voice","source:encyclopedia-bobby-bland; source:wikipedia-list-blues-musicians-discovery; source:school-of-rock-history-blues","{""platform"":""youtube"",""videoId"":""StdN_CiCNS4"",""title"":""Bobby Blue Bland   Turn On Your Love Light"",""sourceUrl"":""https://www.youtube.com/watch?v=StdN_CiCNS4"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bobby-murray","bobby-murray","Bobby Murray","artist","Bobby Murray was a blues songwriter and guitarist.","1953 – 2026","United States","Blues; Electric Blues","Songwriter; Guitarist","Guitar","source:encyclopedia-bobby-murray; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""enyMbjiUQkg"",""title"":""Bobby Murray - Waiting For Mr  Goodfingers"",""sourceUrl"":""https://www.youtube.com/watch?v=enyMbjiUQkg"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bobo-jenkins","bobo-jenkins","Bobo Jenkins","artist","Bobo Jenkins was a blues singer and songwriter.","1916 – 1984","United States","Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-bobo-jenkins; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""cnvJyhekf4s"",""title"":""Bobo Jenkins     ~    ''Watergate Blues''  1974"",""sourceUrl"":""https://www.youtube.com/watch?v=cnvJyhekf4s"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bonnie-raitt","bonnie-raitt","Bonnie Raitt","artist","A slide guitarist who apprenticed directly with older bluesmen like Fred McDowell and Sippie Wallace, carrying their technique into mainstream rock radio.","1949 –","California","","","","","{""platform"":""youtube"",""videoId"":""mJ58TVYNFro"",""title"":""Something to Talk About"",""sourceUrl"":""https://www.youtube.com/watch?v=mJ58TVYNFro"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:boo-boo-davis","boo-boo-davis","Boo Boo Davis","artist","Boo Boo Davis is a blues singer and songwriter.","1943 –","United States","Blues; Electric Blues","Singer; Songwriter","Guitar; Harmonica; Voice; Harp","source:encyclopedia-boo-boo-davis; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""tI-tIugYrMA"",""title"":""Xmas Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=tI-tIugYrMA"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:boogie-woogie-red","boogie-woogie-red","Boogie Woogie Red","artist","Boogie Woogie Red was a blues singer, jazz musician and pianist.","1925 – 1992","United States","Blues","Singer; Jazz Musician; Pianist; Songwriter","Piano; Voice","source:encyclopedia-boogie-woogie-red; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""F8CiRIbHAkQ"",""title"":""Boogie Woogie Red - Piano Blues #5 - Early 70s Bootleg (probably recorded in UK or Detroit)"",""sourceUrl"":""https://www.youtube.com/watch?v=F8CiRIbHAkQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:boyd-gilmore","boyd-gilmore","Boyd Gilmore","artist","Boyd Gilmore was a blues singer.","1905 – 1976","","Blues","Singer","Voice","source:encyclopedia-boyd-gilmore; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""7e-UcJZaErM"",""title"":""All in My Dreams"",""sourceUrl"":""https://www.youtube.com/watch?v=7e-UcJZaErM"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:brownie-mcghee","brownie-mcghee","Brownie McGhee","artist","Tennessee-born singer-guitarist whose Piedmont blues career included a decades-long recording and performance partnership with Sonny Terry.","1915 – 1996","Tennessee; North Carolina; New York","Piedmont blues; Country blues","Singer; Songwriter; Guitarist","Guitar","source:brownie-mcghee-blues-foundation","{""platform"":""youtube"",""videoId"":""X5CbhXaQtKc"",""title"":""Better Day"",""sourceUrl"":""https://www.youtube.com/watch?v=X5CbhXaQtKc"",""lastChecked"":""2026-07-22""}","reviewed","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:buddy-guy","buddy-guy","Buddy Guy","artist","His explosive, distorted guitar tone bridged 1950s Chicago blues and 1960s rock, cited directly by Clapton and Hendrix as an inspiration.","1936 –","Louisiana → Chicago","","","","","{""platform"":""youtube"",""videoId"":""QUKC-RHuJhQ"",""title"":""Damn Right, I've Got the Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=QUKC-RHuJhQ"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bukka-white","bukka-white","Bukka White","artist","Bukka White was a blues guitarist, pianist and songwriter.","1909 – 1977","United States","Blues; Delta Blues; Country Blues","Guitarist; Pianist; Songwriter; Singer","Guitar; Piano","source:encyclopedia-bukka-white; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""KbHtNMyAB7g"",""title"":""Bukka White - Aberdeen Mississippi Blues (1967) HQ"",""sourceUrl"":""https://www.youtube.com/watch?v=KbHtNMyAB7g"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:bumble-bee-slim","bumble-bee-slim","Bumble Bee Slim","artist","Bumble Bee Slim was a blues musician.","1905 – 1968","United States","Blues","Musician","","source:encyclopedia-bumble-bee-slim; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""-1bke4FpC_A"",""title"":""Sloppy Drunk Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=-1bke4FpC_A"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:buster-benton","buster-benton","Buster Benton","artist","Buster Benton was a blues singer and songwriter.","1932 – 1996","United States","Blues; Chicago Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-buster-benton; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""tyrOpwsgus8"",""title"":""Best Blues Songs Of The Buster Benton - Buster Benton Full Album (Official Music Video)"",""sourceUrl"":""https://www.youtube.com/watch?v=tyrOpwsgus8"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:buster-pickens","buster-pickens","Buster Pickens","artist","Buster Pickens was a blues musician and pianist.","1916 – 1964","United States","Blues","Musician; Pianist","Piano","source:encyclopedia-buster-pickens; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""T3Dz_ejo_8o"",""title"":""Backdoor Blues"",""sourceUrl"":""https://www.youtube.com/watch?v=T3Dz_ejo_8o"",""lastChecked"":""2026-07-22""}","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:call-response","call-response","Call-and-Response Worship","tradition","A structural principle — leader's line answered by a group — retained across the Middle Passage and foundational to spirituals, field hollers, gospel, and the AAB structure of blues verses.","1700s –","West & Central Africa / American South","","","","","","needs_revision",""
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","entity:calvin-frazier","calvin-frazier","Calvin Frazier","artist","Calvin Frazier was a blues singer and songwriter.","1915 – 1972","United States","Blues","Singer; Songwriter","Guitar; Voice","source:encyclopedia-calvin-frazier; source:wikipedia-list-blues-musicians-discovery","{""platform"":""youtube"",""videoId"":""rJOQEqKCQQc"",""title"":""Calvin Frazier -  She's A Double Crossing Woman"",""sourceUrl"":""https://www.youtube.com/watch?v=rJOQEqKCQQc"",""lastChecked"":""2026-07-22""}","needs_revision",""
