"corpus_version","generated_at","license","methodology_url","id","slug","entityAId","entityBId","relationshipType","orientation","evidenceCategory","explanation","citationIds","reviewStatus","disputeStatus","lastReviewed"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:015","joe-bonamassa--ally-venable","entity:joe-bonamassa","entity:ally-venable","recorded_with","symmetric","directly_documented","Joe Bonamassa appears as a guest guitarist and vocalist on Ally Venable's recorded track Broken and Blue.","source:ally-venable-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:008","johnny-copeland--shemekia-copeland","entity:johnny-copeland","entity:shemekia-copeland","mentored","directed","directly_documented","Shemekia Copeland describes touring with her father Johnny Copeland and learning from him during those formative years.","source:shemekia-copeland-knkx-interview; source:johnny-copeland-alligator","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:035","keb-mo--jontavious-willis","entity:keb-mo","entity:jontavious-willis","mentored","directed","contextual_or_inferential","Music Maker Foundation identifies Keb’ Mo’ as a major mentor who supported Willis's development and recorded work.","source:jontavious-willis-music-maker","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:011","keb-mo--taj-mahal","entity:keb-mo","entity:taj-mahal","learned_from","directed","directly_documented","Keb’ Mo’ directly identifies Taj Mahal as his most important mentor and a model for expanding blues across musical traditions.","source:keb-mo-grammy-interview","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:017","kenny-wayne-shepherd--ally-venable","entity:kenny-wayne-shepherd","entity:ally-venable","mentored","directed","contextual_or_inferential","Venable's official biography identifies Kenny Wayne Shepherd as a mentor in her development as a blues-rock guitarist.","source:ally-venable-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:kora-ngoni--field-hollers","kora-ngoni--field-hollers","entity:kora-ngoni","entity:field-hollers","historical_parallel","symmetric","interpretive_or_debated","This record proposes string-bending and buzzing-tone parallels between West African string traditions and field hollers. Smithsonian Folkways supports a broader connection between West African musical traditions and field hollers, but does not establish this specific mechanism or a direct unbroken lineage.","source:smithsonian-before-the-blues","reviewed","contested","2026-07-21"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:032","lightnin-hopkins--christone-kingfish-ingram","entity:lightnin-hopkins","entity:christone-kingfish-ingram","influenced_style","directed","contextual_or_inferential","The City of Clarksdale artist profile lists Lightnin’ Hopkins among Ingram's named blues influences.","source:city-clarksdale-kingfish","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:005","little-jimmy-king--christone-kingfish-ingram","entity:little-jimmy-king","entity:christone-kingfish-ingram","influenced_style","directed","contextual_or_inferential","The City of Clarksdale artist profile includes Little Jimmy King among Ingram's named musical influences.","source:city-clarksdale-kingfish","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:006","little-jimmy-king--eric-gales","entity:little-jimmy-king","entity:eric-gales","mentored","directed","directly_documented","Eric Gales credits his older brother Little Jimmy King with showing him the musical foundations that started his guitar development.","source:eric-gales-ljk-interview-2026","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:033","mississippi-fred-mcdowell--rl-burnside","entity:mississippi-fred-mcdowell","entity:rl-burnside","influenced_style","directed","contextual_or_inferential","Mississippi heritage and Blues Foundation sources identify McDowell's guitar playing as formative to Burnside's Hill Country style.","source:fred-mcdowell-ms-blues-trail; source:rl-burnside-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:024","muddy-waters--james-cotton","entity:muddy-waters","entity:james-cotton","performed_with","symmetric","contextual_or_inferential","Muddy Waters hired James Cotton in 1954, and Cotton remained a performing member of Waters's band for twelve years.","source:james-cotton-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:027","robert-cray--albert-collins","entity:robert-cray","entity:albert-collins","recorded_with","symmetric","directly_documented","Robert Cray and Albert Collins recorded together on the collaborative 1985 album Showdown!.","source:robert-cray-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:028","robert-cray--johnny-copeland","entity:robert-cray","entity:johnny-copeland","recorded_with","symmetric","directly_documented","Robert Cray and Johnny Copeland recorded together on the collaborative 1985 album Showdown!.","source:robert-cray-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:038","robert-johnson--gare-du-nord","entity:robert-johnson","entity:gare-du-nord","covered_work_by","directed","directly_documented","Gare du Nord's official history states that Pablo's Blues was built around Robert Johnson's Come On in My Kitchen.","source:gare-du-nord-official-about","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:013","samantha-fish--jesse-dayton","entity:samantha-fish","entity:jesse-dayton","recorded_with","symmetric","directly_documented","Fish and Dayton co-wrote and recorded the collaborative album Death Wish Blues.","source:samantha-fish-official-bio; source:jesse-dayton-official-bio","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:020","sister-rosetta-tharpe--chuck-berry","entity:sister-rosetta-tharpe","entity:chuck-berry","influenced_style","directed","contextual_or_inferential","The Smithsonian identifies Tharpe's amplified guitar style as an influence on Chuck Berry's later rock-and-roll playing.","source:sister-rosetta-smithsonian","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:021","sister-rosetta-tharpe--little-richard","entity:sister-rosetta-tharpe","entity:little-richard","influenced_style","directed","contextual_or_inferential","The Smithsonian documents Sister Rosetta Tharpe as an inspiration for Little Richard's emerging performance style.","source:sister-rosetta-smithsonian","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:skip-james--cream","skip-james--cream","entity:skip-james","entity:cream","covered_work_by","directed","contextual_or_inferential","Cream recorded Skip James's I'm So Glad for the group's 1966 debut album, bringing the composition to a much wider audience.","source:skip-james-mississippi-encyclopedia","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:son-house--muddy-waters","son-house--muddy-waters","entity:son-house","entity:muddy-waters","mentored","directed","directly_documented","The Library of Congress identifies Son House as having taught the young McKinley Morganfield, later known as Muddy Waters.","source:loc-songs-america-blues","reviewed","none","2026-07-21"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:022","sonny-boy-williamson-ii--james-cotton","entity:sonny-boy-williamson-ii","entity:james-cotton","mentored","directed","contextual_or_inferential","Sonny Boy Williamson II took the young James Cotton into his home and taught him harmonica technique and performance practice.","source:james-cotton-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:029","sonny-terry--brownie-mcghee","entity:sonny-terry","entity:brownie-mcghee","recorded_with","symmetric","contextual_or_inferential","Sonny Terry and Brownie McGhee maintained a decades-long partnership across recordings, concerts, radio, stage and film work.","source:sonny-terry-blues-foundation; source:brownie-mcghee-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:030","sonny-terry--lightnin-hopkins","entity:sonny-terry","entity:lightnin-hopkins","recorded_with","symmetric","directly_documented","The Blues Foundation documents Sonny Terry's recording sessions with Texas singer-guitarist Lightnin’ Hopkins.","source:sonny-terry-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:037","stevie-ray-vaughan--john-mayer","entity:stevie-ray-vaughan","entity:john-mayer","influenced_style","directed","contextual_or_inferential","Berklee's profile identifies Stevie Ray Vaughan as the formative model for Mayer's early blues guitar study.","source:john-mayer-berklee-profile","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:034","taj-mahal--jontavious-willis","entity:taj-mahal","entity:jontavious-willis","mentored","directed","directly_documented","Willis directly describes Taj Mahal becoming his mentor after hearing him perform and bringing him into professional touring contexts.","source:jontavious-willis-interview","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:010","taj-mahal--keb-mo","entity:taj-mahal","entity:keb-mo","recorded_with","symmetric","directly_documented","Taj Mahal and Keb’ Mo’ jointly recorded and co-produced the collaborative album TajMo and continued the partnership in performance.","source:tajmo-official","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:026","victoria-spivey--sippie-wallace","entity:victoria-spivey","entity:sippie-wallace","revived_or_reintroduced","directed","contextual_or_inferential","Victoria Spivey encouraged Wallace's mid-1960s return to blues recording and public performance.","source:sippie-wallace-blues-foundation","reviewed","none","2026-07-22"
"0.7.1","2026-07-22T19:24:54.796Z","NOASSERTION: No public data license has been asserted yet","/methodology","relationship:research:012","willie-dixon--billy-branch","entity:willie-dixon","entity:billy-branch","mentored","directed","contextual_or_inferential","Branch's official biography credits Willie Dixon with discovering him and drawing him into the New Generation of Chicago Blues.","source:billy-branch-official-bio","reviewed","none","2026-07-22"
